"RECIPE","LAST RUN","RUN RESULT","NOTES"
"Tuck.install.recipe","2015-10-05 11:05:12","ERROR: Code signature verification failed. Note that all verifications can be disabled by setting the variable DISABLE_CODE_SIGNATURE_VERIFICATION to a non-empty value.
Failed.
",""
"Tuck.munki.recipe","2015-10-05 11:05:13","ERROR: Code signature verification failed. Note that all verifications can be disabled by setting the variable DISABLE_CODE_SIGNATURE_VERIFICATION to a non-empty value.
Failed.
",""
"Tuck.pkg.recipe","2015-10-05 11:05:14","ERROR: Code signature verification failed. Note that all verifications can be disabled by setting the variable DISABLE_CODE_SIGNATURE_VERIFICATION to a non-empty value.
Failed.
",""
"iStumbler.download.recipe","2015-10-05 11:05:18","OK",""
"iStumbler.install.recipe","2015-10-05 11:05:21","OK",""
"iStumbler.munki.recipe","2015-10-05 11:05:27","OK",""
"iStumbler.pkg.recipe","2015-10-05 11:05:32","OK",""
"iZip.download.recipe","2015-10-05 11:05:36","OK",""
"iZip.install.recipe","2015-10-05 11:05:40","OK",""
"iZip.munki.recipe","2015-10-05 11:05:45","OK",""
"iZip.pkg.recipe","2015-10-05 11:05:50","OK",""
"JSSImporter.download.recipe","2015-10-05 11:05:52","OK",""
"JSSImporter.install.recipe","2015-10-05 11:05:54","OK",""
"duet.download.recipe","2015-10-05 11:05:56","OK",""
"duet.install.recipe","2015-10-05 11:06:02","OK",""
"duet.munki.recipe","2015-10-05 11:06:12","OK",""
"duet.pkg.recipe","2015-10-05 11:06:14","OK",""
"laplock.download.recipe","2015-10-05 11:06:15","OK",""
"laplock.install.recipe","2015-10-05 11:06:22","OK",""
"laplock.munki.recipe","2015-10-05 11:06:32","OK",""
"laplock.pkg.recipe","2015-10-05 11:06:33","OK",""
"GraphicConverter9.download.recipe","2015-10-05 11:06:40","OK",""
"GraphicConverter9.install.recipe","2015-10-05 11:06:59","OK",""
"GraphicConverter9.munki.recipe","2015-10-05 11:07:23","OK",""
"GraphicConverter9.pkg.recipe","2015-10-05 11:07:29","OK",""
"Scapple.download.recipe","2015-10-05 11:07:29","ERROR: Couldn't download http:///scrivener.s3.amazonaws.com/mac_updates/Scapple_1.2.zip (<urlopen error no host given>)
Failed.
",""
"Scapple.install.recipe","2015-10-05 11:07:30","ERROR: Couldn't download http:///scrivener.s3.amazonaws.com/mac_updates/Scapple_1.2.zip (<urlopen error no host given>)
Failed.
",""
"Scapple.munki.recipe","2015-10-05 11:07:30","ERROR: Couldn't download http:///scrivener.s3.amazonaws.com/mac_updates/Scapple_1.2.zip (<urlopen error no host given>)
Failed.
",""
"Scapple.pkg.recipe","2015-10-05 11:07:31","ERROR: Couldn't download http:///scrivener.s3.amazonaws.com/mac_updates/Scapple_1.2.zip (<urlopen error no host given>)
Failed.
",""
"Scrivener.download.recipe","2015-10-05 11:07:33","OK",""
"Scrivener.install.recipe","2015-10-05 11:07:48","OK",""
"Scrivener.munki.recipe","2015-10-05 11:08:06","OK",""
"Scrivener.pkg.recipe","2015-10-05 11:08:09","OK",""
"LiveSurfaceContext.download.recipe","2015-10-05 11:08:11","OK",""
"LiveSurfaceContext.install.recipe","2015-10-05 11:08:25","OK",""
